0,1,2,3,4,5,6,7,8,9,10,11,12,13
,1.1,"Introduction to Probability Theory:
Probability Theory, Basic Concepts in Probability, Random
Variables and Joint Distribution, Independence and Conditional
Independence, Continuous Spaces, Expectation and Variances",,,,,,,,,,,
,1.2,"Introduction to Graphs: Nodes and Edges, Subgraphs, Paths and
Trails, Cycles and Loops",,,,,,,,,,,
,1.3,"Introduction to Probabilistic Graph Models: Bayesian Network,
Markov Model, Hidden Markov Model",,,,,,,,,,,
,1.4,Applications of PGM,,,,,,,,,,,
2.,,Bayesian Network Model and Inference,10,,,,,,,,,,
,2.1,"Directed Graph Model: Bayesian Network-Exploiting Independence
Properties, Naive Bayes Model, Bayesian Network Model,
Reasoning Patterns, Basic Independencies in Bayesian Networks,
Bayesian Network Semantics, Graphs and Distributions. Modelling:
Picking variables, Picking Structure, Picking Probabilities, D-
separation",,,,,,,,,,,
,2.2,"Local Probabilistic Models: Tabular CPDs, Deterministic CPDs,
Context Specific CPDs, Generalized Linear Models.",,,,,,,,,,,
"Introduction to Graphs: Nodes and Edges, Subgraphs, Paths and",,,,,,,,,,,,,
"Trails, Cycles and Loops",,,,,,,,,,,,,
"Introduction to Probabilistic Graph Models: Bayesian Network,",,,,,,,,,,,,,
"Markov Model, Hidden Markov Model",,,,,,,,,,,,,
Directed Graph Model: Bayesian Network-Exploiting Independence,,,,,,,,,,,,,
"Properties, Naive Bayes Model, Bayesian Network Model,",,,,,,,,,,,,,
"Reasoning Patterns, Basic Independencies in Bayesian Networks,",,,,,,,,,,,,,
"Bayesian Network Semantics, Graphs and Distributions. Modelling:",,,,,,,,,,,,,
"Picking variables, Picking Structure, Picking Probabilities, D-",,,,,,,,,,,,,
separation,,,,,,,,,,,,,
"Local Probabilistic Models: Tabular CPDs, Deterministic CPDs,",,,,,,,,,,,,,
"Context Specific CPDs, Generalized Linear Models.",,,,,,,,,,,,,
,2.3,"Exact inference variable elimination: Analysis of Complexity,
Variable Elimination, Conditioning, Inference with Structured CPDs.",,,,,,,,,,,
3.,,Markov Network Model and Inference,8,,,,,,,,,,
,3.1,"Undirected Graph Model : Markov Model-Markov Network,
Parameterization of Markov Network, Gibb's distribution, Reduced
Markov Network, Markov Network Independencies, From
Distributions to Graphs, Fine Grained Parameterization, Over
Parameterization",,,,,,,,,,,
,3.2,"Exact inference variable elimination: Graph Theoretic Analysis for
Variable Elimination, Conditioning",,,,,,,,,,,
4.,,Hidden Markov Model and Inference,6,,,,,,,,,,
,4.1,"Template Based Graph Model : HMM- Temporal Models, Template
Variables and Template Factors, Directed Probabilistic Models,
Undirected Representation, Structural Uncertainty.",,,,,,,,,,,
5.,,Learning and Taking Actions and Decisions,6,,,,,,,,,,
,5.1,"Learning Graphical Models: Goals of Learning, Density Estimation,
Specific Prediction Tasks, Knowledge Discovery. Learning as
Optimization: Empirical Risk, over fitting, Generalization,
Evaluating Generalization Performance, Selecting a Learning
Procedure, Goodness of fit, Learning Tasks. Parameter Estimation:
Maximum Likelihood Estimation, MLE for Bayesian Networks",,,,,,,,,,,
,5.2,"Causality: Conditioning and Intervention, Correlation and Causation,
Causal Models, Structural Causal Identifiability, Mechanisms and
Response Variables, Learning Causal Models. Utilities and
Decisions: Maximizing Expected Utility, Utility Curves, Utility
Elicitation. Structured Decision Problems: Decision Tree",,,,,,,,,,,
6.,,Applications,4,,,,,,,,,,
,6.1,"Application of Bayesian Networks: Classification, Forecasting,
Decision Making",,,,,,,,,,,
,6.2,"Application of Markov Models: Cost Effectiveness Analysis,
Relational Markov Model and its Applications, Application in
Portfolio Optimization",,,,,,,,,,,
,6.3,"Application of HMM: Speech Recognition, Part of Speech Tagging,
Bioinformatics.",,,,,,,,,,,
"Exact inference variable elimination: Analysis of Complexity,",,,,,,,,,,,,,
"Variable Elimination, Conditioning, Inference with Structured CPDs.",,,,,,,,,,,,,
"Undirected Graph Model : Markov Model-Markov Network,",,,,,,,,,,,,,
"Parameterization of Markov Network, Gibb's distribution, Reduced",,,,,,,,,,,,,
"Markov Network, Markov Network Independencies, From",,,,,,,,,,,,,
"Distributions to Graphs, Fine Grained Parameterization, Over",,,,,,,,,,,,,
Parameterization,,,,,,,,,,,,,
Exact inference variable elimination: Graph Theoretic Analysis for,,,,,,,,,,,,,
"Variable Elimination, Conditioning",,,,,,,,,,,,,
"Template Based Graph Model : HMM- Temporal Models, Template",,,,,,,,,,,,,
"Variables and Template Factors, Directed Probabilistic Models,",,,,,,,,,,,,,
"Undirected Representation, Structural Uncertainty.",,,,,,,,,,,,,
"Learning Graphical Models: Goals of Learning, Density Estimation,",,,,,,,,,,,,,
"Specific Prediction Tasks, Knowledge Discovery. Learning as",,,,,,,,,,,,,
"Optimization: Empirical Risk, over fitting, Generalization,",,,,,,,,,,,,,
"Evaluating Generalization Performance, Selecting a Learning",,,,,,,,,,,,,
"Procedure, Goodness of fit, Learning Tasks. Parameter Estimation:",,,,,,,,,,,,,
"Maximum Likelihood Estimation, MLE for Bayesian Networks",,,,,,,,,,,,,
"Causality: Conditioning and Intervention, Correlation and Causation,",,,,,,,,,,,,,
"Causal Models, Structural Causal Identifiability, Mechanisms and",,,,,,,,,,,,,
"Response Variables, Learning Causal Models. Utilities and",,,,,,,,,,,,,
"Decisions: Maximizing Expected Utility, Utility Curves, Utility",,,,,,,,,,,,,
Elicitation. Structured Decision Problems: Decision Tree,,,,,,,,,,,,,
"Application of Bayesian Networks: Classification, Forecasting,",,,,,,,,,,,,,
Decision Making,,,,,,,,,,,,,
"Application of Markov Models: Cost Effectiveness Analysis,",,,,,,,,,,,,,
"Relational Markov Model and its Applications, Application in",,,,,,,,,,,,,
Portfolio Optimization,,,,,,,,,,,,,
"Application of HMM: Speech Recognition, Part of Speech Tagging,",,,,,,,,,,,,,
Bioinformatics.,,,,,,,,,,,,,
Textbooks:,,,,,,,,,,,,,
,,,,,,,,,,,,,
1.,,,"Daphne Koller and Nir Friedman, ""Probabilistic Graphical Models: Principles",,,,,,,,,,
,,,"and Techniques”, Cambridge, MA: The MIT Press, 2009 (ISBN 978-0-262-0139-",,,,,,,,,,
,,,2).,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2.,,,"David Barber, ""Bayesian Reasoning and Machine Learning"", Cambridge",,,,,,,,,,
,,,"University Press, 1st edition, 2011.",,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,References:,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1.,,"Finn Jensen and Thomas Nielsen, ""Bayesian Networks and Decision Graphs",,,,,,,,,,,
,,"(Information Science and Statistics )"", 2nd Edition, Springer, 2007.",,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2.,,"Kevin P. Murphy, ""Machine Learning: A Probabilistic Perspective"", MIT Press,",,,,,,,,,,,
,,2012.,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3.,,"Martin Wainwright and Michael Jordan, M., ""Graphical Models, Exponential",,,,,,,,,,,
,,"Families, and Variational Inference"", 2008.",,,,,,,,,,,
,,,,,,,,,,,,,
Assessment:,,,,,,,,,,,,,
Internal Assessment:,,,,,,,,,,,,,
"Assessment consists of two class tests of 20 marks each. The first class test is to be m
onducted when approx. 40% syllabus is completed and second class test when additional
40% syllabus is completed. Duration of each test shall be one hour.",,,,,,,,,,,,,
End Semester Theory Examination:,,,,,,,,,,,,,
1.,,Question paper will comprise of total six questions.,,,,,,,,,,,
2.,,All question carries equal marks,,,,,,,,,,,
3.,,"Questions will be mixed in nature (for example supposed Q.2 has part (a) from
module 3 then part (b) will be from any module other than module 3)",,,,,,,,,,,
4.,,Only Four question need to be solved.,,,,,,,,,,,
5.,,"In question paper weightage of each module will be proportional to number of
respective lecture hours as mention in the syllabus.",,,,,,,,,,,
Useful Links,,,,,,,,,,,,,
1.,https://www.coursera.org/specializations/probabilistic-graphical-models,,,,,,,,,,,,
2.,https://www.mooc-list.com/tags/probabilistic-graphical-models,,,,,,,,,,,,
3.,"https://scholarship.claremont.edu/cgi/viewcontent.cgi?referer=https://www.google.c
om/&httpsredir=1&article=2690&context=cmc_theses",,,,,,,,,,,,
4.,https://www.upgrad.com/blog/bayesian-networks/,,,,,,,,,,,,
5.,"https://www.utas.edu.au/__data/assets/pdf_file/0009/588474/TR_14_BNs_a_resour
ce_guide.pdf",,,,,,,,,,,,
6.,"https://math.libretexts.org/Bookshelves/Applied_Mathematics/Book%3A_Applied_
Finite_Mathematics_(Sekhon_and_Bloom)/10%3A_Markov_Chains/10.02%3A_A
pplications_of_Markov_Chains/10.2.01%3A_Applications_of_Markov_Chains_(E
xercises)",,,,,,,,,,,,
7.,https://link.springer.com/chapter/10.1007/978-3-319-43742-2_24,,,,,,,,,,,,
8.,https://homes.cs.washington.edu/~pedrod/papers/kdd02a.pdf,,,,,,,,,,,,
9.,https://core.ac.uk/download/pdf/191938826.pdf,,,,,,,,,,,,
10.,https://cs.brown.edu/research/pubs/theses/ugrad/2005/dbooksta.pdf,,,,,,,,,,,,
11.,"https://web.ece.ucsb.edu/Faculty/Rabiner/ece259/Reprints/tutorial%20on%20hmm
%20and%20applications.pdf",,,,,,,,,,,,
12.,https://mi.eng.cam.ac.uk/~mjfg/mjfg_NOW.pdf,,,,,,,,,,,,
13.,"http://bioinfo.au.tsinghua.edu.cn/member/jgu/pgm/materials/Chapter3-
LocalProbabilisticModels.pdf",,,,,,,,,,,,
Suggested List of Experiments:,,,,,,,,,,,,,
Sr. No,Experiment,,,,,,,,,,,,
1.,Experiment on Probability Theory,,,,,,,,,,,,
2.,Experiment on Graph Theory,,,,,,,,,,,,
3.,Experiment on Bayesian Network Modelling,,,,,,,,,,,,
4.,Experiment on Markov Chain Modeling,,,,,,,,,,,,
5.,Experiment on HMM,,,,,,,,,,,,
6.,Experiment on Maximum Likelihood Estimation,,,,,,,,,,,,
7.,Decision Making using Decision Trees,,,,,,,,,,,,
8.,Learning with Optimization,,,,,,,,,,,,
"** Suggestion: Laboratory work based on above syllabus can be incorporated along with
mini project in CSM501: Mini-Project.",,,,,,,,,,,,,
Course Code:,Course Title,Credit,,,,,,,,,,,
CSDLO5012,Internet Programming,3,,,,,,,,,,,
Prerequisite: Data Structures,,,,,,,,,,,,,
Course Objectives:,,,,,,,,,,,,,
1,To get familiar with the basics of Internet Programming.,,,,,,,,,,,,
2,"To acquire knowledge and skills for creation of web site considering both client and server-
side programming",,,,,,,,,,,,
3,To gain ability to develop responsive web applications,,,,,,,,,,,,
4,To explore different web extensions and web services standards,,,,,,,,,,,,
5,To learn characteristics of RIA,,,,,,,,,,,,
6,To learn React js,,,,,,,,,,,,
Course Outcomes:,,,,,,,,,,,,,
1,Implement interactive web page(s) using HTML and CSS.,,,,,,,,,,,,
2,Design a responsive web site using JavaScript,,,,,,,,,,,,
3,Demonstrate database connectivity using JDBC,,,,,,,,,,,,
4,Demonstrate Rich Internet Application using Ajax,,,,,,,,,,,,
5,Demonstrate and differentiate various Web Extensions.,,,,,,,,,,,,
6,Demonstrate web application using Reactive Js,,,,,,,,,,,,
Module,,Content,,,,Hrs,,,,,,,
1,,Introduction to Web Technology,,,,10,,,,,,,
,1.1,,"Web Essentials: Clients, Servers and Communication, The Internet,",,,,,,,,,,
,,,"Basic Internet protocols, World wide web, HTTP Request Message,",,,,,,,,,,
,,,"HTTP Response Message, Web Clients, Web Servers",,,,,,,,,,
,,,HTML5 –,"fundamental syntax and semantics,","Tables, Lists, Image,",,,,,,,,
,,,"HTML5 control elements, Semantic elements, Drag and Drop, Audio –",,,,,,,,,,
,,,Video controls,,,,,,,,,,
,,,"CSS3 – Inline, embedded and external style sheets – Rule cascading,",,,,,,,,,,
,,,"Inheritance, Backgrounds, Border Images, Colors, Shadows, Text,",,,,,,,,,,
,,,"Transformations, Transitions, Animation, Basics of Bootstrap.",,,,,,,,,,
2,,Front End Development,,,,7,,,,,,,
,2.1,,Java Script: An introduction to JavaScript–JavaScript DOM Model-,,,,,,,,,,
,,,Date and Objects-Regular Expressions- Exception Handling-,,,,,,,,,,
,,,"Validation-Built-in objects-Event Handling, DHTML with JavaScript-",,,,,,,,,,
,,,JSON introduction – Syntax – Function Files – Http Request –SQL.,,,,,,,,,,
3.,,Back End Development,,,,7,,,,,,,
,3.1,,"Servlets: Java Servlet Architecture, Servlet Life Cycle, Form GET and",,,,,,,,,,
,,,"POST actions, Session Handling, Understanding Cookies, Installing",,,,,,,,,,
,,,"and Configuring Apache Tomcat Web Server,",,,,,,,,,,
,,,"Database Connectivity: JDBC perspectives, JDBC program example",,,,,,,,,,
,,,"JSP: Understanding Java Server Pages, JSP Standard Tag Library",,,,,,,,,,
,,,"(JSTL), Creating HTML forms by embedding JSP code.",,,,,,,,,,
4,,Rich Internet Application (RIA),,,,4,,,,,,,
,4.1,"Characteristics of RIA,
Introduction to AJAX: AJAX design basics, AJAX vs Traditional
Approach, Rich User Interface using Ajax, jQuery framework with
AJAX.",,,,,,,,,,,
5,,Web Extension: PHP and XML,,,,6,,,,,,,
,5.1,"XML –DTD (Document Type Definition), XML Schema, Document
Object Model, Presenting XML, Using XML Parsers: DOM and SAX,
XSL-eXtensible Stylesheet Language",,,,,,,,,,,
,5.2,"Introduction to PHP- Data types, control structures, built in functions,
building web applications using PHP- tracking users, PHP and
MySQLdatabase connectivity with example.",,,,,,,,,,,
6,,React js,5,,,,,,,,,,
,6.1,"Introduction, React features, App “Hello World” Application,
Introduction to JSX, Simple Application using JSX.",,,,,,,,,,,
,,,39,,,,,,,,,,
Textbooks:,,,,,,,,,,,,,
1,"Ralph Moseley, M.T. Savliya, “Developing Web Applications”, Willy India, Second
Edition, ISBN: 978-81-265-3867-6",,,,,,,,,,,,
2,"“Web Technology Black Book”, Dremtech Press, First Edition, 978-7722-997",,,,,,,,,,,,
3,"Robin Nixon, ""Learning PHP, MySQL, JavaScript, CSS & HTML5"" Third Edition,
O'REILLY, 2014.
(http://www.ebooksbucket.com/uploads/itprogramming/javascript/Learning_PHP_MySQ
L_Javascript_CSS_HTML5__Robin_Nixon_3e.pdf)",,,,,,,,,,,,
4,"Dana Moore, Raymond Budd, Edward Benson,Professional Rich Internet Applications:
AJAX and Beyond Wiley publications. https://ebooks-it.org/0470082801-ebook.htm",,,,,,,,,,,,
5.,"Alex Banks and Eve Porcello, Learning React Functional Web Development with React
and Redux,OREILLY, First Edition",,,,,,,,,,,,
References:,,,,,,,,,,,,,
1,"Harvey & Paul Deitel& Associates, Harvey Deitel and Abbey Deitel, Internet and World
Wide Web - How To Program, Fifth Edition, Pearson Education, 2011.",,,,,,,,,,,,
2,"Achyut S Godbole and AtulKahate, ―Web Technologies, Second Edition, Tata McGraw
Hill, 2012.",,,,,,,,,,,,
3,"Thomas A Powell, Fritz Schneider, ―JavaScript: The Complete Reference, Third Edition,
Tata McGraw Hill, 2013",,,,,,,,,,,,
4,"David Flanagan, ―JavaScript: The Definitive Guide, Sixth Edition, O'Reilly Media, 2011",,,,,,,,,,,,
5,"Steven Holzner ―The Complete Reference - PHP, Tata McGraw Hill, 2008",,,,,,,,,,,,
6,"Mike Mcgrath―PHP & MySQL in easy Steps, Tata McGraw Hill, 2012.",,,,,,,,,,,,
Assessment:,,,,,,,,,,,,,
Internal Assessment:,,,,,,,,,,,,,
"Assessment consists of two class tests of 20 marks each. The firstclass test is to be conducted
when approx. 40% syllabus is completed and the secondclass test when an additional 40%
syllabus is completed. Duration of each test shall be one hour.",,,,,,,,,,,,,
End Semester Theory Examination:,,,,,,,,,,,,,
1,Question paper will comprise a total of six questions.,,,,,,,,,,,,
2,All question carries equal marks,,,,,,,,,,,,
3,"Questions will be mixed in nature (for example supposed Q.2 has part (a) from module 3
then part (b) will be from any module other than module 3)",,,,,,,,,,,,
4,Only Four questions need to be solved.,,,,,,,,,,,,
5,"In question paper weightage of each module will be proportional to number of respective
lecture hours as mentioned in the syllabus.",,,,,,,,,,,,
Useful Links,,,,,,,,,,,,,
1,https://books.goalkicker.com/ReactJSBook/,,,,,,,,,,,,
2,https://www.guru99.com/reactjs-tutorial.html,,,,,,,,,,,,
3,www.nptelvideos.in,,,,,,,,,,,,
4,www.w3schools.com,,,,,,,,,,,,
5,https://spoken-tutorial.org/,,,,,,,,,,,,
6,,www.coursera.org,,,,,,,,,,,
The following list can be used as a guideline for mini project:,,,,,,,,,,,,,
1,Create Simple web page using HTML5,,,,,,,,,,,,
2,Design and Implement web page using CSS3 and HTML5,,,,,,,,,,,,
3,"Form Design and Client-Side Validation using: a. Javascript and HTML5, b. Javascript
and Jquery",,,,,,,,,,,,
4,Develop interactive web pages using HTML 5 with JDBC database connectivity,,,,,,,,,,,,
5,Develop simple web page using PHP,,,,,,,,,,,,
6,Develop interactive web pages using PHP with database connectivity MYSQL,,,,,,,,,,,,
7,"Develop XML web page using DTD, XSL",,,,,,,,,,,,
8,Implement a web page using Ajax and PHP,,,,,,,,,,,,
9,Case study based on Reactive js,,,,,,,,,,,,
10,Installation of the React DOM library.,,,,,,,,,,,,
"* Suggestion: Laboratory work based on above syllabus can be incorporated as mini
project in CSM501: Mini-Project.",,,,,,,,,,,,,
Course Code:,Course Title,Credit,,,,,,,,,,,
CSDLO5013,Advance Database Management System,3,,,,,,,,,,,
Prerequisite: Database Management System,,,,,,,,,,,,,
Course Objectives:,,,,,,,,,,,,,
1,To provide insights into distributed database designing,,,,,,,,,,,,
2,To specify the various approaches used for using XML and JSON technologies.,,,,,,,,,,,,
3,To apply the concepts behind the various types of NoSQL databases and utilize it for Mongodb,,,,,,,,,,,,
4,To learn about the trends in advance databases,,,,,,,,,,,,
Course Outcomes: After the successful completion of this course learner will be able to:,,,,,,,,,,,,,
1,Design distributed database using the various techniques for query processing,,,,,,,,,,,,
2,Measure query cost and perform distributed transaction management,,,,,,,,,,,,
3,Organize the data using XML and JSON database for better interoperability,,,,,,,,,,,,
4,Compare different types of NoSQL databases,,,,,,,,,,,,
5,Formulate NoSQL queries using Mongodb,,,,,,,,,,,,
6,"Describe various trends in advance databases through temporal, graph based and spatial
based databases",,,,,,,,,,,,
Module,,Content,Hrs,,,,,,,,,,
1,,Distributed Databases,3,,,,,,,,,,
,1.1,"Introduction, Distributed DBMS Architecture, Data Fragmentation,
Replication and Allocation Techniques for Distributed Database Design.",,,,,,,,,,,
,,,,,,,,,,,,,
2,,Distributed Database Handling,8,,,,,,,,,,
,2.1,"Distributed Transaction Management – Definition, properties, types,
architecture
Distributed Query Processing - Characterization of Query Processors,
Layers/ phases of query processing.",,,,,,,,,,,
,2.2,"Distributed Concurrency Control- Taxonomy, Locking based, Basic TO
algorithm,
Recovery in Distributed Databases: Failures in distributed database, 2PC
and 3PC protocol.",,,,,,,,,,,
,,,,,,,,,,,,,
3,,Data interoperability – XML and JSON,6,,,,,,,,,,
,3.1,"XML Databases: Document Type Definition, XML Schema, Querying and
Transformation: XPath and XQuery.",,,,,,,,,,,
,3.2,"Basic JSON syntax, (Java Script Object Notation),JSON data types,
Stringifying and parsing the JSON for sending & receiving, JSON Object
retrieval using key-value pair and JQuery, XML Vs JSON",,,,,,,,,,,
,,,,,,,,,,,,,
4,,NoSQL Distribution Model,10,,,,,,,,,,
,4.1,"NoSQL database concepts: NoSQL data modeling, Benefits of NoSQL,
comparison between SQL and NoSQL database system.",,,,,,,,,,,
,4.2,"Replication and sharding, Distribution Models Consistency in distributed
data, CAP theorem, Notion of ACID Vs BASE, handling Transactions,
consistency and eventual consistency",,,,,,,,,,,
,4.3,"Types of NoSQL databases: Key-value data store, Document database and
Column Family Data store, Comparison of NoSQL databases w.r.t CAP
theorem and ACID properties.",,,,,,,,,,,
,,,,,,,,,,,,,
5,,NoSQL using MongoDB,6,,,,,,,,,,
,5.1,"NoSQL using MongoDB: Introduction to MongoDB Shell, Running the
MongoDB shell, MongoDB client, Basic operations with MongoDB shell,
Basic Data Types, Arrays, Embedded Documents",,,,,,,,,,,
,5.2,,"Querying MongoDB using find() functions, advanced queries using logical",,,,,,,,,,
,,,"operators and sorting, simple aggregate functions, saving and updating",,,,,,,,,,
,,,document.,,,,,,,,,,
,,,MongoDB Distributed environment: Concepts of replication and horizonal,,,,,,,,,,
,,,scaling through sharding in MongoDB,,,,,,,,,,
,,,,,,,,,,,,,
6,,Trends in advance databases,,6,,,,,,,,,
,6.1,"Temporal database: Concepts, time representation, time dimension,
incorporating time in relational databases.",,,,,,,,,,,
,6.2,"Graph Database: Introduction, Features, Transactions, consistency,
Availability, Querying, Case Study Neo4J",,,,,,,,,,,
,6.3,"Spatial database: Introduction, data types, models, operators and queries",,,,,,,,,,,
,,,,39,,,,,,,,,
Textbooks:,,,,,,,,,,,,,
1,"Korth, Siberchatz,Sudarshan, “Database System Concepts”, 6thEdition, McGraw Hill",,,,,,,,,,,,
2,"Elmasri and Navathe, “Fundamentals of Database Systems”, 5thEdition, Pearson Education",,,,,,,,,,,,
3,"Ozsu, M. Tamer, Valduriez, Patrick, “Principles of distributed database systems”,3rd Edition,
Pearson Education, Inc.",,,,,,,,,,,,
4,"PramodSadalge, Martin Fowler, NoSQL Distilled: A Brief Guide to the Emerging World of
Polyglot Persistence, Addison Wesely/ Pearson",,,,,,,,,,,,
5,"Jeff Friesen , Java XML and JSON,Second Edition, 2019, après Inc.",,,,,,,,,,,,
References:,,,,,,,,,,,,,
1,"Peter Rob and Carlos Coronel,Database Systems Design, Implementation and Management,
Thomson Learning, 5thEdition.",,,,,,,,,,,,
2,"Dr. P.S. Deshpande, SQL and PL/SQL for Oracle 10g, Black Book, Dreamtech Press.",,,,,,,,,,,,
3,"Adam Fowler, NoSQL for dummies, John Wiley & Sons, Inc.",,,,,,,,,,,,
4,"Shashank Tiwari, Professional NOSQL, John Willy & Sons. Inc",,,,,,,,,,,,
5,"Raghu Ramkrishnan and Johannes Gehrke, Database Management Systems, TMH",,,,,,,,,,,,
6,,MongoDB Manual :,https://docs.mongodb.com/manual,,,,,,,,,,
Assessment:,,,,,,,,,,,,,
Internal Assessment:,,,,,,,,,,,,,
"Assessment consists of two class tests of 20 marks each. The first-class test is to be conducted
when approx. 40% syllabus is completed and second class test when additional 40% syllabus is
completed. Duration of each test shall be one hour.",,,,,,,,,,,,,
End Semester Theory Examination:,,,,,,,,,,,,,
1,Question paper will comprise of total six questions.,,,,,,,,,,,,
2,All question carries equal marks,,,,,,,,,,,,
3,"Questions will be mixed in nature (for example supposed Q.2 has part (a) from module 3
then part (b) will be from any module other than module 3)",,,,,,,,,,,,
4,Only Four question need to be solved.,,,,,,,,,,,,
5,"In question paper weightage of each module will be proportional to number of respective
lecture hours as mention in the syllabus.",,,,,,,,,,,,
"NOTE: Suggested that in Mini Projects (CSM501) can be included NoSQL databases for
implementation as a backend.",,,,,,,,,,,,,
Useful Links,,,,,,,,,,,,,
1,https://cassandra.apache.org,,,,,,,,,,,,
2,https://www.mongodb.com,,,,,,,,,,,,
3,https://riak.com,,,,,,,,,,,,
4,https://neo4j.com,,,,,,,,,,,,
5,https://martinfowler.com/articles/nosql-intro-original.pdf,,,,,,,,,,,,
Lab Code,Lab Name,Credit,,,,,,,,,,,
CSL501,Software Engineering Lab,1,,,,,,,,,,,
"Prerequisite: Object Oriented Programming with Java , Python Programming",,,,,,,,,,,,,
Lab Objectives:,,,,,,,,,,,,,
1,,,To solve real life problems by applying software engineering principles,,,,,,,,,,
2,,,To impart state-of-the-art knowledge on Software Engineering,,,,,,,,,,
"Lab Outcomes: On successful completion of laboratory experiments, learners will be able to :",,,,,,,,,,,,,
,1,,Identify requirements and apply software process model to selected case study.,,,,,,,,,,
,2,,Develop architectural models for the selected case study.,,,,,,,,,,
,3,,Use computer-aided software engineering (CASE) tools.,,,,,,,,,,
