0,1,2,3,4,5,6,7,8,9,10,11,12,13
"Suggested List of Experiments - Assign the case study/project as detail statement of problem
to a group of two/three students. Laboratory work will be based on course syllabus with
minimum 10 experiments. Open source computer-aided software engineering (CASE) tools can
be used for performing the experiment.",,,,,,,,,,,,,
Sr. No.,Title of Experiment,,,,,,,,,,,,
1,Application of at least two traditional process models.,,,,,,,,,,,,
2,Application of the Agile process models.,,,,,,,,,,,,
3,Preparation of software requirement specification (SRS) document in IEEE format.,,,,,,,,,,,,
4,Structured data flow analysis.,,,,,,,,,,,,
5,Use of metrics to estimate the cost.,,,,,,,,,,,,
6,Scheduling & tracking of the project.,,,,,,,,,,,,
7,Write test cases for black box testing.,,,,,,,,,,,,
8,Write test cases for white box testing.,,,,,,,,,,,,
9,"Preparation of Risk Mitigation, Monitoring and Management Plan (RMMM).",,,,,,,,,,,,
10,Version controlling of the project.,,,,,,,,,,,,
Term Work:,,,,,,,,,,,,,
1,Term work should consist of 10 experiments.,,,,,,,,,,,,
2,"Journal must include at least 2 assignments on content of theory and practical of “Software
Engineering”",,,,,,,,,,,,
3,"The final certification and acceptance of term work ensures that satisfactory performance of
laboratory work and minimum passing marks in term work.",,,,,,,,,,,,
4,"Total 25 Marks (Experiments: 15-marks, Attendance Theory & Practical: 05-marks,
Assignments: 05-marks)",,,,,,,,,,,,
Oral & Practical exam,,,,,,,,,,,,,
,Based on the entire syllabus of CSC502 and CSL501 syllabus,,,,,,,,,,,,
Lab Code,Lab Name,Credit,,,,,,,,,,,
CSL502,Computer Network Lab,1,,,,,,,,,,,
Prerequisite: None,,,,,,,,,,,,,
Lab Objectives:,,,,,,,,,,,,,
1,,,To practically explore OSI layers and understand the usage of simulation tools.,,,,,,,,,,
2,,,,"To analyze, specify and design the topological and routing strategies for an IP based",,,,,,,,,
,,,,networking infrastructure.,,,,,,,,,
3,,,"To identify the various issues of a packet transfer from source to destination, and how they
are resolved by the various existing protocols",,,,,,,,,,
"Lab Outcomes: On successful completion of lab, learner will be able to",,,,,,,,,,,,,
,1,,Design and setup networking environment in Linux.,,,,,,,,,,
2,2,,"Use Network tools and simulators such as NS2, Wireshark etc. to explore networking
algorithms and protocols.",,,,,,,,,,
,3,,Implement programs using core programming APIs for understanding networking concepts.,,,,,,,,,,
Suggested List of Experiments,,,,,,,,,,,,,
Sr. No.,Title of Experiment,,,,,,,,,,,,
1.,Study of RJ45 and CAT6 Cabling and connection using crimping tool.,,,,,,,,,,,,
2.,"Use basic networking commands in Linux (ping, tracert, nslookup, netstat, ARP,
RARP, ip, ifconfig, dig, route )",,,,,,,,,,,,
3.,"Build a simple network topology and configure it for static routing protocol using
packet tracer. Setup a network and configure IP addressing, subnetting, masking.",,,,,,,,,,,,
4.,"Perform network discovery using discovery tools (eg. Nmap, mrtg)",,,,,,,,,,,,
5.,"Use Wire shark to understand the operation of TCP/IP layers:
● Ethernet Layer: Frame header, Frame size etc.
● Data Link Layer: MAC address, ARP (IP and MAC address binding)
● Network Layer: IP Packet (header, fragmentation), ICMP (Query and Echo)
● Transport Layer: TCP Ports, TCP handshake segments etc.
● Application Layer: DHCP, FTP, HTTP header formats",,,,,,,,,,,,
6.,"Use simulator (Eg. NS2) to understand functioning of ALOHA, CSMA/CD.",,,,,,,,,,,,
7.,Study and Installation of Network Simulator (NS3),,,,,,,,,,,,
8.,"a. Set up multiple IP addresses on a single LAN.
b. Using nestat and route commands of Linux, do the following:
● View current routing table
● Add and delete routes
● Change default gateway
c. Perform packet filtering by enabling IP forwarding using IPtables in Linux.",,,,,,,,,,,,
9,Design VPN and Configure RIP/OSPF using Packet tracer.,,,,,,,,,,,,
10.,Socket programming using TCP or UDP,,,,,,,,,,,,
11.,Perform File Transfer and Access using FTP,,,,,,,,,,,,
12.,Perform Remote login using Telnet server,,,,,,,,,,,,
Term Work:,,,,,,,,,,,,,
1,Term work should consist of 10 experiments.,,,,,,,,,,,,
2,"Journal must include at least 2 assignments on content of theory and practical of “Computer
Network”",,,,,,,,,,,,
3,"The final certification and acceptance of term work ensures that satisfactory performance of
laboratory work and minimum passing marks in term work.",,,,,,,,,,,,
4,"Total 25 Marks (Experiments: 15-marks, Attendance Theory& Practical: 05-marks,",,,,,,,,,,,,
,Assignments: 05-marks),,,,,,,,,,,,
Oral & Practical exam,,,,,,,,,,,,,
,Based on the entire syllabus of CSC503: Computer Network,,,,,,,,,,,,
Useful Links,,,,,,,,,,,,,
1,https://www.netacad.com/courses/packet-tracer/introduction-packet-tracer,,,,,,,,,,,,
2,https://www.coursera.org/projects/data-forwarding-computer-networks,,,,,,,,,,,,
3,https://www.edx.org/course/ilabx-the-internet-masterclass,,,,,,,,,,,,
Lab Code,Lab Name,Credit,,,,,,,,,,,
CSL503,Data Warehousing and Mining Lab,1,,,,,,,,,,,
Prerequisite: Database Concepts,,,,,,,,,,,,,
Lab Objectives:,,,,,,,,,,,,,
1.,Learn how to build a data warehouse and query it.,,,,,,,,,,,,
2.,Learn about the data sets and data preprocessing.,,,,,,,,,,,,
3.,"Demonstrate the working of algorithms for data mining tasks such Classification,
clustering, Association rule mining & Web mining",,,,,,,,,,,,
4.,Apply the data mining techniques with varied input values for different parameters.,,,,,,,,,,,,
5.,Explore open source software (like WEKA) to perform data mining tasks.,,,,,,,,,,,,
"Lab Outcomes: At the end of the course, the student will be able to",,,,,,,,,,,,,
1.,Des ign data warehouse and perform various OLAP operations.,,,,,,,,,,,,
2.,Imp lement data mining algorithms like classification.,,,,,,,,,,,,
3.,Imp lement clustering algorithms on a given set of data sample.,,,,,,,,,,,,
4.,Imp lement Association rule mining & web mining algorithm.,,,,,,,,,,,,
Suggested List of Experiments,,,,,,,,,,,,,
"Sr.
No.",Title of Experiment,,,,,,,,,,,,
1,"One case study on building Data warehouse/Data Mart
 Write Detailed Problem statement and design dimensional modelling (creation of star
and snowflake schema)",,,,,,,,,,,,
2,Implementation of all dimension table and fact table based on experiment 1 case study,,,,,,,,,,,,
3,"Implementation of OLAP operations: Slice, Dice, Rollup, Drilldown and Pivot based on
experiment 1 case study",,,,,,,,,,,,
4,Implementation of Bayesian algorithm,,,,,,,,,,,,
5,Implementation of Data Discretization (any one) & Visualization (any one),,,,,,,,,,,,
6,"Perform data Pre-processing task and demonstrate Classification, Clustering, Association
algorithm on data sets using data mining tool (WEKA/R tool)",,,,,,,,,,,,
7,Implementation of Clustering algorithm (K-means/K-medoids),,,,,,,,,,,,
8,Implementation of any one Hierarchical Clustering method,,,,,,,,,,,,
9,Implementation of Association Rule Mining algorithm (Apriori),,,,,,,,,,,,
10,Implementation of Page rank/HITS algorithm,,,,,,,,,,,,
Term Work:,,,,,,,,,,,,,
1,Term work should consist of 10 experiments.,,,,,,,,,,,,
2,"Journal must include at least 1 assignment on content of theory and practical of “Data
Warehousing and Mining”",,,,,,,,,,,,
3,"The final certification and acceptance of term work ensures that satisfactory performance
of laboratory work and minimum passing marks in term work.",,,,,,,,,,,,
4,"Total 25 Marks (Experiments: 15-marks, Attendance (Theory & Practical): 05-marks,
Assignments: 05-marks)",,,,,,,,,,,,
Oral & Practical exam,,,,,,,,,,,,,
,Based on the entire syllabus of CSC504 : Data Warehousing and Mining,,,,,,,,,,,,
Course Code,Course Name,Credit,,,,,,,,,,,
CSL504,Business Communication & Ethics II,02,,,,,,,,,,,
"Course Rationale: This curriculum is designed to build up a professional and ethical approach,
effective oral and written communication with enhanced soft skills. Through practical sessions, it
augments student's interactive competence and confidence to respond appropriately and creatively to
the implied challenges of the global Industrial and Corporate requirements. It further inculcates the
social responsibility of engineers as technical citizens.",,,,,,,,,,,,,
Course Objectives,,,,,,,,,,,,,
1,To discern and develop an effective style of writing important technical/business documents.,,,,,,,,,,,,
2,To investigate possible resources and plan a successful job campaign.,,,,,,,,,,,,
3,"To understand the dynamics of professional communication in the form of group discussions,
meetings, etc. required for career enhancement.",,,,,,,,,,,,
4,To develop creative and impactful presentation skills.,,,,,,,,,,,,
5,"To analyze personal traits, interests, values, aptitudes and skills.",,,,,,,,,,,,
6,To understand the importance of integrity and develop a personal code of ethics.,,,,,,,,,,,,
"Course Outcomes: At the end of the course, the student will be able to",,,,,,,,,,,,,
1,"Plan and prepare effective business/ technical documents which will in turn provide solid
foundation for their future managerial roles.",,,,,,,,,,,,
2,"Strategize their personal and professional skills to build a professional image and meet
the demands of the industry.",,,,,,,,,,,,
3,"Emerge successful in group discussions, meetings and result-oriented agreeable solutions in
group communication situations.",,,,,,,,,,,,
4,Deliver persuasive and professional presentations.,,,,,,,,,,,,
5,"Develop creative thinking and interpersonal skills required for effective professional
communication.",,,,,,,,,,,,
6,"Apply codes of ethical conduct, personal integrity and norms of organizational behaviour.",,,,,,,,,,,,
Module,Contents,Hours,,,,,,,,,,,
1,"ADVANCED TECHNICAL WRITING: PROJECT/PROBLEM
BASED LEARNING (PBL)",06,,,,,,,,,,,
,"Purpose and Classification of Reports:
Classification on the basis of: Subject Matter (Technology, Accounting,
Finance, Marketing, etc.), Time Interval (Periodic, One-time, Special),
Function (Informational, Analytical, etc.), Physical Factors (Memorandum,
Letter, Short & Long)
Parts of a Long Formal Report: Prefatory Parts (Front Matter), Report
Proper (Main Body), Appended Parts (Back Matter)
Language and Style of Reports: Tense, Person & Voice of Reports,
Numbering Style of Chapters, Sections, Figures, Tables and Equations,
Referencing Styles in APA & MLA Format, Proofreading through Plagiarism
Checkers
Definition, Purpose & Types of Proposals: Solicited (in conformance with
RFP) & Unsolicited Proposals, Types (Short and Long proposals)
Parts of a Proposal: Elements, Scope and Limitations, Conclusion
Technical Paper Writing: Parts of a Technical Paper (Abstract, Introduction,
Research Methods, Findings and Analysis, Discussion, Limitations, Future
Scope and References), Language and Formatting, Referencing in IEEE
Format",,,,,,,,,,,,
2,EMPLOYMENT SKILLS,06,,,,,,,,,,,
,"Cover Letter & Resume: Parts and Content of a Cover Letter, Difference
between Bio-data, Resume & CV, Essential Parts of a Resume, Types of
Resume (Chronological, Functional & Combination)
Statement of Purpose: Importance of SOP, Tips for Writing an Effective SOP
Verbal Aptitude Test: Modelled on CAT, GRE, GMAT exams
Group Discussions: Purpose of a GD, Parameters of Evaluating a GD,
Types of GDs (Normal, Case-based & Role Plays), GD Etiquettes
Personal Interviews: Planning and Preparation, Types of Questions,
Types of Interviews (Structured, Stress, Behavioural, Problem Solving &
Case-based), Modes of Interviews: Face-to-face (One-to one and Panel)
Telephonic, Virtual",,,,,,,,,,,,
3,BUSINESS MEETINGS,02,,,,,,,,,,,
,"Conducting Business Meetings: Types of Meetings, Roles and
Responsibilities of Chairperson, Secretary and Members, Meeting
Etiquette
Documentation: Notice, Agenda, Minutes",,,,,,,,,,,,
4,TECHNICAL/ BUSINESS PRESENTATIONS,02,,,,,,,,,,,
,"Effective Presentation Strategies: Defining Purpose, Analyzing
Audience, Location and Event, Gathering, Selecting &Arranging
Material, structuring a Presentation, Making Effective Slides, Types of
Presentations Aids, Closing a Presentation, Platform skills
Group Presentations: Sharing Responsibility in a Team, Building the
contents and visuals together, Transition Phases",,,,,,,,,,,,
5,INTERPERSONAL SKILLS,08,,,,,,,,,,,
,"Interpersonal Skills: Emotional Intelligence, Leadership & Motivation,
Conflict Management & Negotiation, Time Management, Assertiveness,
Decision Making
Start-up Skills: Financial Literacy, Risk Assessment, Data Analysis
(e.g. Consumer Behaviour, Market Trends, etc.)",,,,,,,,,,,,
6,CORPORATE ETHICS,02,,,,,,,,,,,
,"Intellectual Property Rights: Copyrights, Trademarks, Patents,
Industrial Designs, Geographical Indications, Integrated Circuits, Trade
Secrets (Undisclosed Information)
Case Studies: Cases related to Business/ Corporate Ethics",,,,,,,,,,,,
"List of assignments: (In the form of Short Notes, Questionnaire/ MCQ Test, Role Play,
Case Study, Quiz, etc.)",,,,,,,,,,,,,
"Sr.
No.",Title of Experiment,,,,,,,,,,,,
1,Cover Letter and Resume,,,,,,,,,,,,
2,Short Proposal,,,,,,,,,,,,
3,Meeting Documentation,,,,,,,,,,,,
4,Writing a Technical Paper/ Analyzing a Published Technical Paper,,,,,,,,,,,,
5,Writing a SOP,,,,,,,,,,,,
6,IPR,,,,,,,,,,,,
7,Interpersonal Skills,,,,,,,,,,,,
Note:,,,,,,,,,,,,,
1,"The Main Body of the project/book report should contain minimum 25 pages (excluding Front
and Back matter).",,,,,,,,,,,,
2,"The group size for the final report presentation should not be less than 5 students or exceed 7
students.",,,,,,,,,,,,
3,There will be an end–semester presentation based on the book report.,,,,,,,,,,,,
Assessment:,,,,,,,,,,,,,
Term Work:,,,,,,,,,,,,,
1,Term work shall consist of minimum 8 experiments.,,,,,,,,,,,,
2,"The distribution of marks for term work shall be as follows:
Assignment : 10 Marks
Attendance : 5 Marks
Presentation slides : 5 Marks
Book Report (hard copy) : 5 Marks",,,,,,,,,,,,
3,"The final certification and acceptance of term work ensures the satisfactory performance of
laboratory work and minimum passing in the term work.",,,,,,,,,,,,
Internal oral: Oral Examination will be based on a GD & the Project/Book Report presentation.,,,,,,,,,,,,,
,"Group Discussion : 10 marks
Project Presentation : 10 Marks
Group Dynamics : 5 Marks",,,,,,,,,,,,
Books Recommended: Textbooks and Reference books,,,,,,,,,,,,,
1,"Arms, V. M. (2005). Humanities for the engineering curriculum: With selected
chapters from Olsen/Huckin: Technical writing and professional communication,
second edition. Boston, MA: McGraw-Hill.",,,,,,,,,,,,
2,"Bovée, C. L., &Thill, J. V. (2021). Business communication today. Upper Saddle
River, NJ: Pearson.",,,,,,,,,,,,
3,"Butterfield, J. (2017). Verbal communication: Soft skills for a digital workplace.
Boston, MA: Cengage Learning.",,,,,,,,,,,,
4,"Masters, L. A., Wallace, H. R., & Harwood, L. (2011). Personal development for life
and work. Mason: South-Western Cengage Learning.",,,,,,,,,,,,
5,"Robbins, S. P., Judge, T. A., & Campbell, T. T. (2017). Organizational behaviour.
Harlow, England: Pearson.",,,,,,,,,,,,
6,"Meenakshi Raman, Sangeeta Sharma (2004) Technical Communication, Principles and
Practice. Oxford University Press",,,,,,,,,,,,
7,"Archana Ram (2018) Place Mentor, Tests of Aptitude for Placement Readiness.
Oxford University Press",,,,,,,,,,,,
8,"Sanjay Kumar &PushpLata (2018). Communication Skills a workbook, New Delhi:
Oxford University Press.",,,,,,,,,,,,
Course Code,Course Name,Credits,,,,,,,,,,,
CSM501,Mini Project 2A,02,,,,,,,,,,,
Objectives,,,,,,,,,,,,,
1,To understand and identify the problem,,,,,,,,,,,,
2,To apply basic engineering fundamentals and attempt to find solutions to the problems.,,,,,,,,,,,,
3,"Identify, analyze, formulate and handle programming projects with a comprehensive and
systematic approach",,,,,,,,,,,,
4,"To develop communication skills and improve teamwork amongst group members and
inculcate the process of self-learning and research.",,,,,,,,,,,,
Outcome: Learner will be able to…,,,,,,,,,,,,,
1,"Identify societal/research/innovation/entrepreneurship problems through appropriate
literature surveys",,,,,,,,,,,,
2,"Identify Methodology for solving above problem and apply engineering knowledge and
skills to solve it",,,,,,,,,,,,
3,"Validate, Verify the results using test cases/benchmark data/theoretical/
inferences/experiments/simulations",,,,,,,,,,,,
4,"Analyze and evaluate the impact of solution/product/research/innovation
/entrepreneurship towards societal/environmental/sustainable development",,,,,,,,,,,,
5,"Use standard norms of engineering practices and project management principles during
project work",,,,,,,,,,,,
6,"Communicate through technical report writing and oral presentation.
● The work may result in research/white paper/ article/blog writing and publication
● The work may result in business plan for entrepreneurship product created
● The work may result in patent filing.",,,,,,,,,,,,
7,"Gain technical competency towards participation in Competitions, Hackathons, etc.",,,,,,,,,,,,
8,"Demonstrate capabilities of self-learning, leading to lifelong learning.",,,,,,,,,,,,
9,Develop interpersonal skills to work as a member of a group or as leader,,,,,,,,,,,,
Guidelines for Mini Project,,,,,,,,,,,,,
1,"Mini project may be carried out in one or more form of following:
Product preparations, prototype development model, fabrication of set-ups, laboratory
experiment development, process modification/development, simulation, software
development, integration of software (frontend-backend) and hardware, statistical data
analysis, creating awareness in society/environment etc.",,,,,,,,,,,,
2,"Students shall form a group of 3 to 4 students, while forming a group shall not be
allowed less than three or more than four students, as it is a group activity.",,,,,,,,,,,,
3,"Students should do survey and identify needs, which shall be converted into problem
statement for mini project in consultation with faculty supervisor or
head of department/internal committee of faculties.",,,,,,,,,,,,
4,"Students shall submit an implementation plan in the form of Gantt/PERT/CPM chart,
which will cover weekly activity of mini projects.",,,,,,,,,,,,
5,"A logbook may be prepared by each group, wherein the group can record weekly work
progress, guide/supervisor can verify and record notes/comments.",,,,,,,,,,,,
6,"Faculty supervisors may give inputs to students during mini project activity; however,
focus shall be on self-learning.",,,,,,,,,,,,
7,"Students under the guidance of faculty supervisor shall convert the best solution into a
working model using various components of their domain areas and demonstrate.",,,,,,,,,,,,
8,"The solution to be validated with proper justification and report to be compiled in
standard format of University of Mumbai. Software requirement specification (SRS)
documents, research papers, competition certificates may be submitted as part of",,,,,,,,,,,,
,annexure to the report.,,,,,,,,,,,,
9,"With the focus on self-learning, innovation, addressing societal/research/innovation
problems and entrepreneurship quality development within the students through the Mini
Projects, it is preferable that a single project of appropriate level and quality be carried
out in two semesters by all the groups of the students. i.e. Mini Project 2 in semesters V
and VI.",,,,,,,,,,,,
10,"However, based on the individual students or group capability, with the mentor’s
recommendations, if the proposed Mini Project adhering to the qualitative aspects
mentioned above, gets completed in odd semester, then that group can be allowed to work
on the extension of the Mini Project with suitable improvements/modifications or a
completely new project idea in even semester. This policy can be adopted on a case by
case basis.",,,,,,,,,,,,
Term Work,,,,,,,,,,,,,
"The review/ progress monitoring committee shall be constituted by the heads of departments of
each institute. The progress of the mini project to be evaluated on a continuous basis, based on
the SRS document submitted. minimum two reviews in each semester.",,,,,,,,,,,,,
"In continuous assessment focus shall also be on each individual student, assessment based on
individual’s contribution in group activity, their understanding and response to questions.",,,,,,,,,,,,,
Distribution of Term work marks for both semesters shall be as below:,,,Marks 25,,,,,,,,,,
1,Marks awarded by guide/supervisor based on logbook,,10,,,,,,,,,,
2,Marks awarded by review committee,,10,,,,,,,,,,
3,Quality of Project report,,05,,,,,,,,,,
"Review / progress monitoring committee may consider following points for assessment
based on either one year or half year project as mentioned in general guidelines",,,,,,,,,,,,,
One-year project:,,,,,,,,,,,,,
1,,"In one-year project (sem V and VI), first semester the entire theoretical solution shall be
made ready, including components/system selection and cost analysis. Two reviews will
be conducted based on a presentation given by a student group.
First shall be for finalization of problem
Second shall be on finalization of proposed solution of problem.",,,,,,,,,,,
2,,"In the second semester expected work shall be procurement of component’s/systems,
building of working prototype, testing and validation of results based on work completed
in an earlier semester.
First review is based on readiness of building working prototype to be conducted.
Second review shall be based on poster presentation cum demonstration of working
model in the last month of the said semester.",,,,,,,,,,,
Half-year project:,,,,,,,,,,,,,
1,,"In this case in one semester students’ group shall complete project in all aspects including,
Identification of need/problem
Proposed final solution
Procurement of components/systems
Building prototype and testing",,,,,,,,,,,
2,,"Two reviews will be conducted for continuous assessment,
First shall be for finalization of problem and proposed solution
Second shall be for implementation and testing of solution.",,,,,,,,,,,
Mini Project shall be assessed based on following points,,,,,,,,,,,,,
1,Clarity of problem and quality of literature Survey for problem identification,,,,,,,,,,,,
2,Requirement Gathering via SRS/ Feasibility Study,,,,,,,,,,,,
3,Completeness of methodology implemented,,,,,,,,,,,,
4,"Design, Analysis and Further Plan",,,,,,,,,,,,
5,"Novelty, Originality or Innovativeness of project",,,,,,,,,,,,
6,Societal / Research impact,,,,,,,,,,,,
7,"Effective use of skill set : Standard engineering practices and Project management
standard",,,,,,,,,,,,
8,Contribution of an individual’s as member or leader,,,,,,,,,,,,
9,Clarity in written and oral communication,,,,,,,,,,,,
10,Verification and validation of the solution/ Test Cases,,,,,,,,,,,,
11,Full functioning of working model as per stated requirements,,,,,,,,,,,,
12,Technical writing /competition/hackathon outcome being met,,,,,,,,,,,,
"In one year project (sem V and VI), first semester evaluation may be based on first 10 criteria and
remaining may be used for second semester evaluation of performance of students in mini
projects.",,,,,,,,,,,,,
"In case of half year projects (completing in V sem) all criteria in generic may be considered for
evaluation of performance of students in mini projects.",,,,,,,,,,,,,
Guidelines for Assessment of Mini Project Practical/Oral Examination:,,,,,,,,,,,,,
1,Report should be prepared as per the guidelines issued by the University of Mumbai.,,,,,,,,,,,,
2,"Mini Project shall be assessed through a presentation and demonstration of working model
by the student project group to a panel of Internal and External Examiners preferably from
industry or research organizations having experience of more than five years approved by
the head of Institution.",,,,,,,,,,,,
3,"Students shall be motivated to publish a paper/participate in competition based on the work
in Conferences/students competitions.",,,,,,,,,,,,
